State,District,Market,Commodity,Variety,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,
Bihar,Vaishali,Parsoniya Mandi  Mahua block,Tomato,Deshi,14/09/2022,4200,4400,4300,
Bihar,West Chambaran,Bettiah,Onion,1st Sort,14/09/2022,1600,1900,1700,
Bihar,West Chambaran,Bettiah,Pointed gourd (Parval),Other,14/09/2022,2800,3200,2900,
Bihar,West Chambaran,Bettiah,Potato,(Red Nanital),14/09/2022,1700,1900,1800,
Bihar,West Chambaran,Bettiah,Tomato,Deshi,14/09/2022,2800,3000,2900,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Apple,Apple,14/09/2022,3000,9000,6000,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Bottle gourd,Other,14/09/2022,700,1000,850,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,Other,14/09/2022,1800,3500,2650,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,14/09/2022,1500,2500,2000,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),Other,14/09/2022,1500,3000,2250,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Green Chilli,Other,14/09/2022,1000,2500,1750,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Lemon,Other,14/09/2022,4000,7000,5500,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Mousambi(Sweet Lime),Other,14/09/2022,3000,4000,3500,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,14/09/2022,600,1400,1000,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Peas Wet,Other,14/09/2022,5000,9000,7000,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pomegranate,Other,14/09/2022,5000,12000,8500,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,14/09/2022,400,1800,1100,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,Other,14/09/2022,1000,1500,1250,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,14/09/2022,1200,4000,2600,
Chattisgarh,Balodabazar,Bhatgaon,Paddy(Dhan)(Common),Common,14/09/2022,1400,1400,1400,
Chattisgarh,Balodabazar,Bhatgaon,Paddy(Dhan)(Common),Paddy,14/09/2022,1400,1400,1400,
Chattisgarh,Balodabazar,Kasdol,Paddy(Dhan)(Common),Paddy,14/09/2022,1355,1365,1360,
Chattisgarh,Balodabazar,Sarsiwan,Paddy(Dhan)(Common),Common,14/09/2022,1500,1550,1525,
Chattisgarh,Balodabazar,Sarsiwan,Paddy(Dhan)(Common),Paddy,14/09/2022,1500,1550,1525,
Chattisgarh,Balrampur,Kusmee,Paddy(Dhan)(Common),I.R. 36,14/09/2022,1965,1965,1965,
Chattisgarh,Balrampur,Ramanujganj,Barley (Jau),Other,14/09/2022,1640,1640,1640,
Chattisgarh,Balrampur,Ramanujganj,Maize,Local,14/09/2022,1875,1875,1875,
Chattisgarh,Bijapur,Bharamgarh,Mahua Seed(Hippe seed),Other,14/09/2022,1800,2000,1900,
Chattisgarh,Bijapur,Bhopalpattnam,Mahua Seed(Hippe seed),Other,14/09/2022,1800,2000,1900,
Chattisgarh,Bijapur,Bijapur,Mahua Seed(Hippe seed),Other,14/09/2022,1800,2000,1900,
Chattisgarh,Bilaspur,Ratanpur,Paddy(Dhan)(Common),Paddy Coarse,14/09/2022,1500,1500,1500,
Chattisgarh,Bilaspur,Takhatpur,Paddy(Dhan)(Common),Paddy,14/09/2022,1705,1705,1705,
Chattisgarh,Dantewada,Gidam,Tamarind Seed,Tamarind Seed,14/09/2022,3000,3200,3100,
Chattisgarh,Dhamtari,Dhamtari,Paddy(Dhan)(Common),B P T,14/09/2022,1861,1934,1910,
Chattisgarh,Dhamtari,Dhamtari,Paddy(Dhan)(Common),I.R. 64,14/09/2022,1750,1820,1800,
